id,title,category,brand,modelno,price
0,koss_eq50_3band_stereo_equalizer,headphone_accessories,koss,152132,12.65
1,kodak_black_ink_cartridge_10b_1163641,inkjet_printer_ink,kodak,1163641,10.28
2,kingston_128mx64_pc2700_compaq_evo_d320_ktcd320_1g,computers_accessories,kingston,ktcd320_1g,33.75
3,kinamax_msues2_mini_high_precision_usb_3button_3d_optical_scroll_wheel_mouse_with_retractable_cable_black,mice,kinamax,msues2,6.99
4,kensington_k72349us_wireless_mouse_for_netbooks,mice,kensington,k72349us,24.0
5,kensington_blackbelt_protection_band_for_ipad_2_k39324us,cases_sleeves,kensington,k39324us,23.92
6,just5_j509_easy_to_use_unlocked_cell_phone_with_big_buttons_amplified_sound_personal_emergency_response_system_black,unlocked_phones,just5,j509black,64.11
7,imation_corp_50pk_cdr_700mb_80min_52xspindle_17301,cdr_discs,imation,17301,10.29
8,16x_dvdr_media,dvdr_discs,imation,17340,6.99
9,igo_arctic_laptop_cooling_pad_ac050650001,cleaning_repair,igo,ac050650001,29.99
10,hp_touchpad_custom_fit_case,laptop_netbook_computer_accessories,hp,fb343aa_ac3,25.04
11,hp_laserjet_pro_p1606dn_printer_ce749a_bgj,laser_printers,hp,ce749a_bgj,142.99
12,hp_85a_laserjet_black_toner_print_cartridge_retail_packaging_ce285a,laser_printer_toner,hp,ce285a,
13,hp_envelope_feeder_75_sheets,printers,hp,cb524a,267.24
14,hawking_higain_outdoor_wireless300n_dual_radio_smart_repeater,wireless_access_points,hawking_technology,how2r1,270.99
15,griffin_technology_powerjolt_se_2_amp_power_charger_for_ipad_iphone_and_ipod_black,chargers_adapters,griffin_technology,gc23090,14.26
16,goldtouch_usb_numeric_keypad_hub_keypad_usb_22_keys_white,accesscontrol_keypads,goldtouch,gtc0033,37.92
17,garmin_oregon_450t_handheld_gps_navigator,handheld_gps,garmin,0100069741,399.86
18,fujitsu_scansnap_s1500m_instant_pdf_sheetfed_scanner_for_the_macintosh,scanners,fujitsu,pa03586b105,418.99
19,slim_folding_multiposition_tablet_stand_for_galaxy_tab_motorola_xoom_asus_eee_pad_transformer_and_many_other_tablets_includes_micro_usb_cable,touch_screen_tablet_accessories,accessory_genie,nan,14.99
20,energizer_max_alkaline_batteries,d,energizer,e95fp8,14.43
21,emerge_tech_retractable_usb_cable_for_ipod_white,mp3_player_accessories,emerge_tech,etipodusb,4.99
22,ematic_10_in_1_premium_accessory_kit_for_ipod_touch_3rd_gen_newest_model,mp3_player_accessories,xo_vision,ei026gp,19.99
23,edge_sd_gaming_cards_flash_memory_card_1_gb_130x_sd,computer_components,edge,sd_gaming_cards,9.0
24,edge_memory_16_gb_2_x_8_gb_dimm_240pin_ddr2_667_mhz_pc25300_registered_ecc,audio_video_accessories,edge,x5290azpe,594.83
25,edge_memory_4_gb_dimm_240pin_ddr2_667_mhz_pc25300_registered_ecc,memory,edge,d1240211646pe,119.24
26,dry_erase_board_cleaning_wet_wipes_6_x_9_50,printer_accessories,expo,nan,
27,dlink_dkvmcb_6_ft_kvm_cable_male_to_male_connectors,networking_products,dlink,dkvmcb,14.82
28,zeikos_zecbg7d_battery_power_grip_for_canon_7d_camera,digital_camera_accessories,zeikos,zecbg7d,66.44
29,wintvhvr1850_pcie_for_vista_white_box_pcie_atsc_hd,computers_accessories,hauppauge,1129,91.24
30,western_digital_my_book_essential_1_tb_usb_30_20_desktop_external_hard_drive,external_hard_drives,western_digital,wdbacw0010hbknesn,79.99
31,verbatim_25pk_cdrw_74min_650mb_16x24x_94583,nan,verbatim,94583,17.88
32,verbatim_95145_47_gb_up_to16x_white_inkjet_printable_recordable_disc_dvd_r_100_disc_spindle,blank_media,verbatim,95145,34.98
33,trendnet_usb_to_10_100mbps_adapter_tu2et100,computer_cable_adapters,trendnet,tu2et100,17.84
34,tplink_nt_tlant2412d_24_g_12dbi,networking_products,tplink,tlant2412d,39.75
35,teknmotion_tmrcd48ws1_48disc_wallet_round_black_white_star,plug_play_satellite_radios,teknmotion,nan,13.0
36,targus_amu59us_kaleidoscope_optical_mouse,computers_accessories,targus,amu59us,9.99
37,talkabout_mc220r_two_way_radio,microphones_accessories,motorola,nan,34.74
38,syba_sdu1irdanm_usb_fast_infrared_adapter,usb_network_adapters,syba,sdu1irdanm,11.7
39,sunpak_flexpod_digital_slr_tripod_gray,complete_tripod_units,sunpak,620flexprogr,12.95
40,startechcom_compact_black_usb_20_to_gigabit_ethernet_nic_network_adapter_usb21000s,network_cards,startech,usb21000s,35.23
41,solo_sterling_collection_ipad_or_ereader_or_netbook_sleeve_holds_tablet_device_up_to_102_inch_netbook_black_cla1104,bags_cases,solo,cla1104,14.99
42,sirius_connect_sch1_home_tuner,nan,sirius_satellite_radio,sch1,53.99
43,sima_usb_multi_cable_sup100,usb_cables,sima,sup100,25.91
44,parallel_printer_port,nan,siig,ju000051s1,18.99
45,siig_ic510111s1_dp_soundwave_51_channels_sound_board_tremor_16xx_series_audio_codec_processor_pci_express_20_bit_internal,internal_sound_cards,siig,ic510111s1,39.82
46,sheaffer_93129_gift_collection_300_series_ballpoint_pen_and_pencil_set_black_barrel,laminating_supplies,sheaffer,nan,
47,scosche_loc80_2channel_adjustable_lineout_converter,dash_mounting_kits,scosche,loc80,
48,rca_th1702_2gb_thumbdrive_style_mp3_player,mp3_players,audiovox,th1702,
49,quality_park_cd_dvd_envelopes_white_pack_of_100_62903,media_storage_organization,quality_park,62903,10.89
50,pny_verto_geforce_8500gt_512mb_video_card,computers_accessories,pny,vcg85512gxpb,
51,pioneer_dehp5200hd_cd_receiver_with_hd_radio_and_ipod_direct_control,accessories_supplies,pioneer,dehp5200hd,134.95
52,philips_sdv2210_27_hdtv_uhf_vhf_fm_indoor_tv_antenna,nan,philips,sdv221027,13.0
53,peerless_st630_tilt_wall_mount_for_10_to_24_displays_black,computer_monitor_mounts,peerless,st630,22.99
54,peerless_pm47_vcr_bracket_black,nan,peerless,pm47,15.68
55,pacon_54611_sixply_poster_board_28_x_22_white_25_carton,nan,pacon,nan,
56,optoma_blfu220b_projector_lamp,lamps,optoma,blfu220b,
57,nuance_pdf_converter_professional_v6,computers_accessories,nuance,nan,55.99
58,nikon_coolpix_s1100pj_14_mp_digital_camera_with_5x_wide_angle_optical_vibration_reduction_vr_zoom_and_3inch_lcd_and_builtin_projector_violet,point_shoot_digital_cameras,nikon,s1100pj_violet,
59,nikon_35mm_f_14_g_afs_fx_swm_nikkor_lens_for_nikon_digital_slr_cameras,camera_lenses,nikon,afs_35mm,
60,nextware_jellybean_case_for_ipod_touch_4g_blue,cases,nextware,jellybeebl,18.54
61,lg_50pj350_50inch_720p_plasma_hdtv,tvs,lg,50pj350,
62,lapgear_46017_chill_case_17,cables_interconnects,lapgear,nan,
63,kodak_mini_video_camera_with_sd_card_red,camcorders,kodak,8398513,62.5
64,inland_proht_eva_7inch_tablet_case_02252,cases_sleeves,inland,02252,10.88
65,hp_ed495aa_90_watt_smart_ac_adapter,chargers_adapters,hp,ed495aa_aba,18.99
66,garmin_dezl_560lmt_5inch_widescreen_bluetooth_portable_trucking_gps_navigator_with_lifetime_map_traffic_updates,portable_vehicle_gps,garmin,0100089701,440.0
67,garmin_n_vi_1350_series_43inch_widescreen_portable_gps_navigator,portable_vehicle_gps,garmin,0100078220,132.57
68,dymo_d1_tape_cartridge_for_electronic_label_makers_1_2w_blue_on_clear,labeling_tapes,dymo,nan,19.21
69,digital_camera_neck_and_wrist_strap_combo,nan,quantaray,222045338,8.99
70,crystal_clear_htc_mytouch_4g_tpu_protector_tmobile,covers_skins,avant_products,nan,
71,canon_photo_paper_plus_semigloss_13_x_19_inches_20_sheets_1686b031,photo_paper,canon,1686b031,24.49
72,brother_lc01c_print_cartridge_1_x_cyan_300_pages,inkjet_printer_ink,brother,01c,9.99
73,boss_audio_sk422_phantom_speaker,coaxial_speakers,boss,sk422,20.0
74,avery_selfadhesive_laminating_sheets_9_x_12_inches_box_of_50_73601,laminating_supplies,avery,73601,16.8
75,acer_as57509851_156inch_laptop_mesh_black,laptops,acer,as57509851,699.0
76,wintec_filemate_4gb_swivel_usb_20_flash_drive,computer_accessories,wintec,nan,9.99
77,royal_laminator_pl2100,laminators,royal,pl2100_laminator,30.99
78,record_account_book_black_red_cover_144_pages,printer_accessories,boorum_pease,nan,
